MOSFET_0_8_L_BIASCM_PMOS,MOSFET_0_8_M_BIASCM_PMOS,MOSFET_0_8_W_BIASCM_PMOS,MOSFET_11_1_L_gm2_PMOS,MOSFET_11_1_M_gm2_PMOS,MOSFET_11_1_W_gm2_PMOS,MOSFET_12_1_L_gmf2_PMOS,MOSFET_12_1_M_gmf2_PMOS,MOSFET_12_1_W_gmf2_PMOS,MOSFET_17_7_L_BIASCM_NMOS,MOSFET_17_7_M_BIASCM_NMOS,MOSFET_17_7_W_BIASCM_NMOS,MOSFET_18_7_L_BIASCM_NMOS,MOSFET_18_7_M_BIASCM_NMOS,MOSFET_18_7_W_BIASCM_NMOS,MOSFET_22_2_L_LOAD2_NMOS,MOSFET_22_2_M_LOAD2_NMOS,MOSFET_22_2_W_LOAD2_NMOS,MOSFET_24_1_L_gm4_NMOS,MOSFET_24_1_M_gm4_NMOS,MOSFET_24_1_W_gm4_NMOS,MOSFET_25_1_L_gm3_NMOS,MOSFET_25_1_M_gm3_NMOS,MOSFET_25_1_W_gm3_NMOS,MOSFET_9_2_L_gm1_PMOS,MOSFET_9_2_M_gm1_PMOS,MOSFET_9_2_W_gm1_PMOS,CAPACITOR_0,CAPACITOR_1,CURRENT_0_BIAS,gen,index,av0,av11,av12,av17,av18,av22,av24,av25,av9,ft0,ft11,ft12,ft17,ft18,ft22,ft24,ft25,ft9,gm0,gm11,gm12,gm17,gm18,gm22,gm24,gm25,gm9,CMRR,FOML,FOMS,FOM_AW,PSRR,SR,chip_area,d_settle,fitness,gain,gbw,ivdd_27,noise,pm,settlingTime,tc,vos,Topo,Tech_nodes,VDD,VCM,CL,RUN
10,1,4,0.4,1,9,0.4,50,10,6.8,11,10,8,6,9,3.2,23,10,8,1,2,2,1,2,1.6,1,6,2.35,0.211,3.59,10,49,1117.49612678411,142.852597050005,129.655676090194,1088.55365039911,4.08449321216444,303.732663358979,0.0275600839383011,19.187916884211,1113.61061365724,9310574.78412362,916415677.34305,785268351.038099,2204345.21736465,2434594.64443504,7395020.29189943,2766277.41033274,1331300507.48643,153413195.323591,8.6066301567859e-06,5.85807920023001e-05,0.00281895061285151,7.71806632232677e-05,6.15276801940491e-05,6.73054621343027e-05,1.42114750832196e-06,0.000137441082577546,2.81743575547196e-05,77.895043485298,32.9544673131767,20.1637318624103,58.5292092790097,45.8430290738403,2111823.69648415,114.384129143863,0.0201485608706392,-1.90248300000001,82.5037026118164,1292154,0.000200259618484994,0.000109130801801612,50.75923,3.91180405130631e-07,0.00024308173424198,0.00434820357069099,"Leung_DFCFC1_Pin_3",65,3.3,1.6,10,0
10,1,2,1.2,1,5,0.4,3,8,6.8,9,9,8,5,8,3.2,20,10,8,1,7,0.8,2,9,2,1,10,3.28,0.434,2.61,11,50,989.110926689869,1020.61084700945,101.961040022754,1080.38024825219,4.07508423529115,301.94547257637,1.27497851200082,214.952976405618,1656.87237312163,11160573.4189562,241007385.611403,3361965600.5348,2239349.62121629,2402261.54308302,6710361.4000359,10309130.6351385,2016650825.32194,78081138.8221474,5.21567392245484e-06,2.63902937661064e-05,0.000702460530185273,5.79749701762151e-05,4.48561936171716e-05,5.24241349376287e-05,1.41648336356552e-05,0.000629869494626954,2.72342449217929e-05,82.160513602581,31.3631230234457,29.355681212092,2.68229267352728,53.9452881736922,1131221.45683725,108.194944429026,0.0222969174316728,154,106.581135684323,1058816,0.000112714127670696,0.000153314604865914,58.02131,7.56466763662637e-07,8.94009427659959e-05,0.00159465388196489,"Leung_DFCFC1_Pin_3",65,3.3,1.6,10,0
10,1,2,1.2,1,6,2,50,10,4.8,21,10,8,3,9,3.2,1,4,6.8,2,7,0.8,46,10,0.8,1,4,2.56,0.253,2.47,3,0,1007.40939970182,1018.71967637518,1557.64593154072,888.234951846376,4.19485678201605,261.81873151069,1304.79490114409,246.486080942745,555.97952789183,10894275.2284545,218731884.658308,71936673.3535375,1565973.16141723,3024473.79245854,87598190.1572376,6669428.48195922,328986900.204792,488905193.878822,5.08510864288429e-06,2.79424052144287e-05,0.00122366118924328,6.27577491394395e-05,4.0006580156272e-05,2.26167318032023e-05,9.4456097977685e-06,0.00190636068633859,2.84261268395398e-05,86.6877986384633,28.8567974134138,28.3682165903898,2.51955296238653,55.8545314480834,1240193.99905326,115.29855593198,0.0212972144718835,-11.110968,119.222586433239,1219196,0.000134304794517492,0.000218253529988537,44.3884,6.86160619238138e-07,8.93066177567947e-05,0.00141655573274391,"Leung_DFCFC1_Pin_3",65,3.3,1.6,10,0
4,10,10,0.4,5,9,0.4,26,10,3.6,28,10,10,20,10,8,16,10,10,16,10,0.4,18,10,0.4,1,2,2.84,0.415,233,1,55,466.475095956027,105.177881236355,91.5979639256767,1062.85990865054,6.52904077260761,354.2687178434,1935.92596530835,57.8605814136892,43.6448783035543,58034512.3359882,4025237171.09568,3840412209.34441,53485326.7569672,9282889.05613867,32749053.021843,9402583.2247888,7098562775.04224,9565892782.45975,0.000545768236384657,0.00162233400253835,0.00903610432366183,0.00384665907570416,0.00163902762610548,0.000982017890495946,0.000299227284044097,0.0115927825835846,0.000196513464785911,18.5068887791459,41.0814767588316,7.15811765264628,2500460.45365912,19.7403044913577,48998669.7666887,179.321763877116,0.110030937460523,-40.438367383305,85.49755991961,8537625,0.00372724777932878,0.000342698893288015,63.28851,1.74761582861366e-08,0.00128629396174418,0.0173535881758968,"Leung_DFCFC1_Pin_3",65,3.3,1.6,10,1
4.4,30,10,0.4,5,9,0.4,21,10,3.6,50,10,10,21,10,5.2,14,10,3.6,7,10,1.2,21,10,0.4,1,2,2.75,0.451,300,6,37,670.829203056357,99.0640707506587,85.8612160593138,997.950191315124,6.93170534567377,262.110933346672,2095.32234150481,232.791074769425,39.2238681642391,34850897.2327039,4377147392.67956,4192621456.9222,46313057.4308854,10321740.8909259,75858898.3355263,135220079.199953,1297445772.59224,10096190902.4304,0.00104609312141744,0.0018064417687521,0.00815712985746371,0.00568359775604068,0.00195064261321684,0.0012950994222893,0.000769348626336188,0.00737287271602365,0.00020825682268521,38.9325912566835,42.3764947054491,7.10434035910608,1897.7475094441,51.4579089124254,62021864.5504896,208.349439644075,0.0304779860015457,-0.1729926,110.448441589552,10397850,0.00457372248619132,0.000393358957241121,49.91263,1.33604674129053e-08,9.23170875743395e-05,0.00721571413956901,"Leung_DFCFC1_Pin_3",65,3.3,1.6,10,1
2.8,27,10,0.4,4,8,0.4,26,10,3.6,50,10,10,30,10,4.4,20,10,7.2,7,9,0.4,1,2,0.4,1,4,3.72,0.381,168,2,42,617.42560969697,113.226720036223,97.9488877957329,934.902901715541,5.57393836951616,305.459296769135,0.013835742644858,3.46817396629251,52.0831332758445,60610637.7574141,3806385392.45929,3588399927.65079,27406724.3803622,6364770.21982629,57441406.9413177,2204681.46230766,17427362393.5603,8162615608.42941,0.000967902236842184,0.00106798943193032,0.00826411441015098,0.00294509682020017,0.00155143666319782,0.00106619359163625,3.22170679847054e-05,0.00041550548705675,0.000331622426940623,57.6598800672774,50.3658433513148,11.9170211609483,12.5247815957748,54.8923304541013,48903469.1812297,215.518883163402,0.0333095040717701,-15.4910844,70.8751296287055,11571010,0.00303426550659264,0.000189251420076429,42.17622,2.1730088302402e-08,1.18256507743797e-05,0.00126286390579189,"Leung_DFCFC1_Pin_3",65,3.3,1.6,10,1
4.4,19,10,0.4,9,9,0.4,31,10,3.6,50,10,10,15,10,5.6,10,10,10,8,9,1.2,50,10,0.4,1,2,2.56,0.186,288,8,50,577.010363472354,112.356735501866,101.194618317339,995.577815559442,7.66826712628543,253.61462801739,2016.63908240076,297.157807147802,39.8402708043036,41531961.3655452,3508541387.71229,3357677074.58626,45328721.7502736,12031926.2984691,77501809.0424684,10494841.075483,768341336.085199,9843114379.23171,0.000805637199651849,0.00245623593703425,0.00907205963390251,0.00549988068431511,0.00166358098469294,0.00103537869725024,0.000154532479158495,0.00933120444056242,0.000203018583407869,23.1136008740243,42.0887129642745,8.6398107789263,514512.417034241,25.077003542277,54166778.0384968,188.086134523521,0.080965002308202,-0.0405626887881172,93.7040468346351,11119150,0.00402177138355317,0.000349027110262331,50.63723,1.32808506546778e-08,0.00100040989207185,0.014415852301007,"Leung_DFCFC1_Pin_3",65,3.3,1.6,10,1
4.4,24,10,0.4,6,9,0.4,50,10,3.6,50,10,10,1,2,5.2,9,10,3.6,2,8,1.6,50,10,0.4,1,5,2.78,0.408,187,10,18,735.679054990533,114.678538754237,102.598676179507,307.311658235623,0.249615354457769,263.910816386613,1828.05549404482,329.594535267268,5.81440410513853,31516352.0186575,3478959942.28428,3314383916.70927,39188714.1160273,14683736.9147654,74848859.7360696,114546202.849009,599534523.89881,5979235612.13376,0.000743967686987164,0.00161616874242233,0.0143816400810759,0.00439235275155323,3.72739729724439e-05,0.000820157090943737,0.000144722595040217,0.0105121919086625,0.000333888974289199,26.5904442790545,48.973193415066,10.3127946967585,25412.0191982888,25.7642264748142,60921813.9606478,163.33686662845,0.0814192804025401,564,118.110888949312,12828940,0.00388744648553909,0.000211490706191109,51.01215,3.02022831958698e-07,0.000117075386368866,0.0247650108340789,"Leung_DFCFC1_Pin_3",65,3.3,1.6,10,1
1.2,11,10,0.4,5,8,0.4,35,10,3.6,50,10,10,13,10,5.2,6,10,9.2,1,4,1.2,1,3,0.4,1,6,3.14,0.248,237,2,53,218.125735089131,125.365068466452,113.610422686443,947.306563925243,7.48445575690841,290.099883805732,170.881236737252,1.26807111099071,50.3365769050791,379712209.768508,2782196319.02273,2609842830.19925,34151554.621045,11809414.2859049,61697226.7861541,98877041.4093743,2280774850.95289,7881716797.08463,0.00114984942893154,0.000909052897424271,0.00752142298102676,0.00381116635363658,0.00141209200732256,0.000438751690877325,9.18430124766195e-05,0.000234750359877593,0.000480710598524346,47.6320293929053,42.0394095028164,18.9545625836198,270.365902011714,48.2099887783345,42768051.9354329,165.138523670281,0.0494961442140056,-20.3511528,61.7365182617244,19283090,0.00317916364380127,0.00018404058653387,39.72164,1.92153828084047e-08,3.83475574259606e-05,0.00425395138957696,"Leung_DFCFC1_Pin_3",65,3.3,1.6,10,1
2,13,9,0.4,5,10,0.4,36,10,4.42,44,10,10,12,9,5.2,7,9,3.6,1,2,1.2,25,10,0.4,1,3,3.07,0.205,142,15,49,385.642185285568,118.175436181155,106.929940810964,1047.85955932441,6.73943736659093,258.345344307567,1744.37476358183,262.370400517031,47.6595957417214,133513373.3317,3218354096.74714,3070514064.33916,20182811.5659731,9920062.05628438,77961213.5991348,109580461.258956,1036756400.33449,8465596562.23104,0.000694061248181496,0.00135897804360344,0.00941394884233897,0.0023669206785222,0.000957823913475026,0.000600914729642716,1.72770117388118e-05,0.00672576132619017,0.000259469167523349,49.1508863247577,66.0866197460843,15.1284901454883,44.9527390296675,51.0446566542543,51832544.7940504,166.555921539884,0.0223949324073264,403,121.127732076063,11865460,0.00245097575127535,0.000409594388904283,55.67054,1.7981005653946e-08,2.16240787977895e-05,0.00263498571294485,"Leung_DFCFC1_Pin_3",65,3.3,1.6,10,1
10,1,2,1.2,1,6,0.4,2,8,5.6,14,10,8,5,8,7.6,4,8,8,1,8,1.2,1,9,1.6,1,3,2.21,0.434,2.61,10,20,989.110926689865,1028.78783246706,104.771973658434,962.327215815619,4.07508423736775,533.320775584,0.279517779060187,245.853099243973,980.234193057425,11160573.4189562,223153150.71043,3188994571.17856,1876205.00530752,2402261.54319554,8336687.69054221,5131579.54642592,1190427835.36812,179606415.225919,5.21567392245484e-06,2.86628852555492e-05,0.000438526544849503,6.29965313587817e-05,4.48561936183431e-05,3.42628338768041e-05,9.18497482329465e-06,0.000285730766044897,1.74615460416227e-05,73.7918696079687,62.4257852043765,40.5549011450004,10.0490031790163,50.4343856058547,1565494.12163312,106.544432045978,0.0308877148606835,400.5,108.66726116823,1017023,7.83677628417004e-05,0.000179330408778643,56.03533,5.26837700120034e-07,0.000164604247947715,0.0028660507434628,"Leung_DFCFC1_Pin_3",65,3.3,1.6,10,0
2.4,13,9,0.4,5,9,0.4,36,10,3.6,44,10,7.01,4,8,4.95,4,8,10.9,1,2,1.2,25,10,0.4,1,3,2.82,0.279,75.8,19,35,554.809276733708,126.654010577616,116.566652420688,849.910863937156,6.93337873260266,248.926688446105,2140.08021701507,286.529627579948,57.5648088335485,79417058.0517857,2522440310.31295,2382751269.1228,17983702.1549428,22681259.7448178,86070549.142757,9334323.74036539,800832077.601809,6809216278.6725,0.000466740307603514,0.000912656672941161,0.00694873898904991,0.00149473584828215,0.000465461819072202,0.000320972991430124,4.215765887398e-06,0.0049132227579184,0.000206073701498661,88.0966034558244,83.7483803429149,25.9619402944054,0.817758360004994,55.3929122364025,36463468.0123345,138.139244966809,0.0220020730662524,458,127.295539640782,11303650,0.00136060347760726,0.000295850138413481,51.6108,2.43924209466531e-08,7.75843016833977e-06,0.00135884595206681,"Leung_DFCFC1_Pin_3",65,3.3,1.6,10,1
10,1,6,1.6,1,5,1.6,10,9,6.8,11,9,8,4,10,16.2,1,10,7.2,1,7,5.2,10,10,2.4,1,10,4.26,0.38,5.56,17,52,1104.61599271221,932.833119162036,729.512566361218,1120.63801271519,4.38280334911913,563.135073575683,2153.26980222603,800.197985192113,1503.23829596979,9384940.79300786,195751411.875163,191063178.386139,3488659.03834294,3964983.06462746,7135800.89115805,27735191.6306088,53122661.9612001,77054025.8384865,1.30179171110401e-05,3.2996800731614e-05,0.000581059721627735,0.000119040201888882,8.24998455084671e-05,2.64559580185238e-05,3.06325190174919e-05,0.000606536368091803,3.71824460393761e-05,96.8808970212167,41.6812932564312,26.2519252839125,0.0482673686349609,55.8782772598364,2135965.95267016,116.53222730215,0.0158491411280385,404,150.656944512601,1345285,0.000160141230768178,0.000117005478570133,54.73055,3.94622578760162e-07,1.09844354238209e-05,0.000723726199531871,"Leung_DFCFC1_Pin_3",65,3.3,1.6,10,0
10,1,2,2,1,7,4,24,10,6.8,9,9,8,4,10,7.2,1,2,6.8,1,10,3.2,9,9,1.6,1,6,2.56,0.253,2.47,8,52,1007.40939970182,1658.5771717717,2885.55358229589,1074.92267673195,4.06558231267178,346.704644407501,1639.91924768347,666.871934741295,1213.63368304327,10894275.2284545,90082525.0429813,21624031.1890105,2163377.86167566,2312613.04113653,35478779.2529431,17602666.8021191,79382764.7226488,136062074.310586,5.08510864288429e-06,2.31301571707684e-05,0.000370582932901606,5.57035615654119e-05,4.28316499911025e-05,1.18061309635724e-05,2.29019225927224e-05,0.0003936353052165,2.3826465709179e-05,85.7866710611458,57.2805685776571,54.847834187069,0.568824788089385,54.2692539333318,1242831.68305622,103.286770692088,0.0200974712801803,-23.50193175,133.694702382775,1190048,6.78039535219564e-05,0.000169357836639148,39.40255,6.34456504337161e-07,6.70033448210794e-05,0.00124979757294286,"Leung_DFCFC1_Pin_3",65,3.3,1.6,10,0
10,1,10,0.8,1,8,0.4,1,10,6.4,13,10,8,6,9,1.2,50,10,8,2,9,0.4,1,8,0.8,1,4,3.6,0.324,2.32,4,8,1782.02849375159,737.028878115592,119.158796834404,1024.89144779588,3.9732707158123,145.490175831145,1496.55118442074,62.2792529836196,567.375416654971,5291553.28949139,322059232.614217,2159123605.0952,1558513.17286984,1784920.01167903,7061933.08173003,7133674.97308106,3028507354.51603,482271244.456728,1.12408667005182e-05,3.40385701612147e-05,0.000172159577388336,5.64156479544354e-05,4.23972306097708e-05,5.11298674379835e-05,1.678932130696e-05,0.000196255191114691,2.79185536880177e-05,121.05176672998,91.1494749966618,94.0287732443199,0.00675130619191893,58.0520769668587,1146877.56783974,123.633474431482,0.0294442943345949,-81.133031925,123.760810341813,1183106,3.93199456127472e-05,0.000285928094049326,36.61749,8.12021911705965e-07,3.93358728069004e-06,0.000502394844298815,"Leung_DFCFC1_Pin_3",65,3.3,1.6,10,0
